,Todays Amount,Todays Result,Total Amount
0,-200.0,0,-200.0
1,-200.0,0,-400.0
2,100.0,1,-300.0
3,112.5,1,-187.5
4,112.5,1,-75.0
5,-212.5,0,-287.5
6,100.0,1,-187.5
7,112.5,1,-75.0
8,-200.0,0,-275.0
9,100.0,1,-175.0
10,-200.0,0,-375.0
11,-200.0,0,-575.0
12,-200.0,0,-775.0
13,100.0,1,-675.0
14,112.5,1,-562.5
15,-237.5,0,-800.0
16,112.5,1,-687.5
17,-200.0,0,-887.5
18,-200.0,0,-1087.5
19,-200.0,0,-1287.5
20,125.0,1,-1162.5
21,100.0,1,-1062.5
22,100.0,1,-962.5
23,112.5,1,-850.0
24,112.5,1,-737.5
25,100.0,1,-637.5
26,137.5,1,-500.0
27,100.0,1,-400.0
28,125.0,1,-275.0
29,-200.0,0,-475.0
30,137.5,1,-337.5
31,-200.0,0,-537.5
32,137.5,1,-400.0
33,-212.5,0,-612.5
34,112.5,1,-500.0
35,-237.5,0,-737.5
36,100.0,1,-637.5
37,100.0,1,-537.5
38,100.0,1,-437.5
39,112.5,1,-325.0
40,125.0,1,-200.0
41,-200.0,0,-400.0
42,125.0,1,-275.0
43,100.0,1,-175.0
44,-200.0,0,-375.0
45,100.0,1,-275.0
46,112.5,1,-162.5
47,-200.0,0,-362.5
48,100.0,1,-262.5
49,100.0,1,-162.5
50,100.0,1,-62.5
51,100.0,1,37.5
52,100.0,1,137.5
53,100.0,1,237.5
54,100.0,1,337.5
55,-212.5,0,125.0
56,100.0,1,225.0
57,100.0,1,325.0
58,100.0,1,425.0
59,-200.0,0,225.0
60,-200.0,0,25.0
61,-200.0,0,-175.0
62,100.0,1,-75.0
63,100.0,1,25.0
64,100.0,1,125.0
65,-200.0,0,-75.0
66,-212.5,0,-287.5
67,-237.5,0,-525.0
68,100.0,1,-425.0
69,112.5,1,-312.5
70,100.0,1,-212.5
71,-212.5,0,-425.0
72,112.5,1,-312.5
73,125.0,1,-187.5
74,-200.0,0,-387.5
75,112.5,1,-275.0
76,100.0,1,-175.0
77,112.5,1,-62.5
78,112.5,1,50.0
79,137.5,1,187.5
80,137.5,1,325.0
81,-212.5,0,112.5
82,100.0,1,212.5
83,-225.0,0,-12.5
84,-200.0,0,-212.5
85,125.0,1,-87.5
86,100.0,1,12.5
87,112.5,1,125.0
88,100.0,1,225.0
89,-212.5,0,12.5
90,100.0,1,112.5
91,100.0,1,212.5
92,137.5,1,350.0
93,-200.0,0,150.0
94,100.0,1,250.0
95,137.5,1,387.5
96,100.0,1,487.5
97,112.5,1,600.0
98,-225.0,0,375.0
99,100.0,1,475.0
100,100.0,1,575.0
101,100.0,1,675.0
102,112.5,1,787.5
103,100.0,1,887.5
104,-212.5,0,675.0
105,100.0,1,775.0
106,100.0,1,875.0
107,100.0,1,975.0
108,137.5,1,1112.5
109,-200.0,0,912.5
110,100.0,1,1012.5
111,125.0,1,1137.5
112,100.0,1,1237.5
113,100.0,1,1337.5
114,100.0,1,1437.5
115,112.5,1,1550.0
116,112.5,1,1662.5
117,-200.0,0,1462.5
118,125.0,1,1587.5
119,125.0,1,1712.5
120,100.0,1,1812.5
121,100.0,1,1912.5
122,162.5,1,2075.0
123,-200.0,0,1875.0
124,100.0,1,1975.0
125,112.5,1,2087.5
126,112.5,1,2200.0
127,-200.0,0,2000.0
128,112.5,1,2112.5
129,100.0,1,2212.5
130,112.5,1,2325.0
131,-200.0,0,2125.0
132,100.0,1,2225.0
133,112.5,1,2337.5
134,125.0,1,2462.5
135,112.5,1,2575.0
136,125.0,1,2700.0
137,-212.5,0,2487.5
138,125.0,1,2612.5
139,125.0,1,2737.5
140,100.0,1,2837.5
141,125.0,1,2962.5
142,-212.5,0,2750.0
143,100.0,1,2850.0
144,100.0,1,2950.0
145,112.5,1,3062.5
146,112.5,1,3175.0
147,100.0,1,3275.0
148,100.0,1,3375.0
149,100.0,1,3475.0
150,100.0,1,3575.0
151,100.0,1,3675.0
152,-200.0,0,3475.0
153,-200.0,0,3275.0
154,112.5,1,3387.5
155,112.5,1,3500.0
156,112.5,1,3612.5
157,-200.0,0,3412.5
158,-200.0,0,3212.5
159,125.0,1,3337.5
160,162.5,1,3500.0
161,-200.0,0,3300.0
162,112.5,1,3412.5
163,-212.5,0,3200.0
164,100.0,1,3300.0
165,112.5,1,3412.5
166,112.5,1,3525.0
167,-200.0,0,3325.0
168,112.5,1,3437.5
169,100.0,1,3537.5
170,-200.0,0,3337.5
171,112.5,1,3450.0
172,100.0,1,3550.0
173,100.0,1,3650.0
174,100.0,1,3750.0
175,-200.0,0,3550.0
176,-212.5,0,3337.5
177,112.5,1,3450.0
178,100.0,1,3550.0
179,100.0,1,3650.0
180,112.5,1,3762.5
181,-200.0,0,3562.5
182,100.0,1,3662.5
183,-200.0,0,3462.5
184,112.5,1,3575.0
185,-212.5,0,3362.5
186,-200.0,0,3162.5
187,-200.0,0,2962.5
188,-200.0,0,2762.5
189,100.0,1,2862.5
190,100.0,1,2962.5
191,100.0,1,3062.5
192,-225.0,0,2837.5
193,100.0,1,2937.5
194,100.0,1,3037.5
195,100.0,1,3137.5
196,-200.0,0,2937.5
197,112.5,1,3050.0
198,100.0,1,3150.0
199,112.5,1,3262.5
200,-200.0,0,3062.5
201,100.0,1,3162.5
