Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[8, 7]",H,"[8, 7, 8]",23,7,[7.],7,L,-25,0,0
"[8, 9]",S,"[8, 9]",17,5,[ 5. 10.  2.],17,P,-25,2,1.0
"[10, 10]",S,"[10, 10]",20,111,[111.  10.],21,L,-50,3,1.6
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,-50,-1,-0.6
"[10, 5]",H,"[10, 5, 10]",25,111,[111.],11,L,-75,-5,-3.0
"[8, 4]",H,"[8, 4, 10]",22,111,[111.],11,L,-100,-7,-4.4
"[7, 10]",S,"[7, 10]",17,6,[6. 8. 8.],22,W,-75,-8,-5.3
"[7, 10]",S,"[7, 10]",17,10,[10. 10.],20,L,-100,-7,-4.9
"[3, 8]",D,"[3, 8, 2]",13,6,[ 6. 10. 10.],26,W,-50,-9,-6.7
"[9, 9]",SP,"[array([ 9, 10]), array([9, 7])]","[19, 16]",6,[ 6. 10.  5.],21,"['SL', 'SL']",-100,-8,-6.5
"[3, 6]",H,"[3, 6, 111]",20,7,[ 7.  6.  2. 10.],25,W,-75,-7,-6.5
"[10, 10]",S,"[10, 10]",20,10,[10. 10.],20,P,-75,0,0
"[8, 4]",H,"[8, 4, 10]",22,7,[7.],7,L,-100,-4,-2.1
"[6, 3]",D,"[6, 3, 3]",12,4,[ 4. 10.  6.],20,L,-150,-3,-1.6
"[9, 7]",H,"[9, 7, 2]",18,111,[111.  10.],21,L,-175,1,0.6
"[2, 9]",D,"[2, 9, 9]",20,2,[2. 5. 3. 8.],18,W,-125,1,0.6
"[10, 111]",PBJ,"[10, 111]",21,111,[111.   5.],16,W,62.5,5,3.3
"[3, 2]",H,"[3, 2, 7]",12,6,[ 6. 10. 10.],26,W,137.5,3,2.1
"[8, 7]",H,"[8, 7, 5]",20,8,[8. 7. 9.],24,W,287.5,5,3.8
"[6, 10]",S,"[6, 10]",16,5,[ 5.  3. 10.],18,L,37.5,8,6.7
"[10, 8]",S,"[10, 8]",18,6,[ 6. 10.  2.],18,P,37.5,9,8.2
"[7, 111]",H,"[7, 111, 3]",21,10,[10. 10.],20,W,62.5,9,9.0
"[4, 3]",H,"[4, 3, 10]",17,6,[6. 4. 9.],19,L,-187.5,0,0
"[3, 10]",H,"[3, 10, 10]",23,111,[111.],11,L,-212.5,3,1.6
"[7, 4]",D,"[7, 4, 7]",18,8,[  8. 111.],19,L,-262.5,1,0.6
"[8, 8]",SP,"[array([ 8, 10]), array([8, 2, 2])]","[18, 12]",8,[ 8. 10.],18,"['SP', 'SL']",-312.5,3,1.8
"[10, 3]",S,"[10, 3]",13,4,[ 4. 10.  7.],21,L,-337.5,3,1.8
"[7, 8]",S,"[7, 8]",15,5,[ 5.  9. 10.],24,W,-312.5,4,2.7
"[6, 111]",H,"[6, 111, 4]",21,10,[10. 10.],20,W,-162.5,5,3.6
"[10, 5]",S,"[10, 5]",15,5,[ 5.  5. 10.],20,L,-287.5,4,3.1
"[3, 9]",H,"[3, 9, 111]",13,2,[ 2.  5.  8. 10.],25,W,-262.5,5,4.2
"[10, 111]",PBJ,"[10, 111]",21,6,[6. 6.],12,W,112.5,6,5.7
"[10, 5]",H,"[10, 5, 3]",18,10,[10.  8.],18,P,112.5,0,0
"[4, 7]",D,"[4, 7, 6]",17,8,[ 8. 10.],18,L,-387.5,0,0.0
"[8, 4]",H,"[8, 4, 111, 4]",17,9,[ 9.  5. 10.],24,W,-362.5,2,1.1
"[7, 10]",S,"[7, 10]",17,3,[3. 8. 5. 5.],21,L,-412.5,3,1.8
"[10, 7]",S,"[10, 7]",17,10,[10. 10.],20,L,-437.5,6,3.9
